geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
can,Canada,0.50231,0.51921,0.57367,0.43638,0.4279,0.41317,0.46703,0.42081,0.31175,0.28158,0.2173,0.21308,0.21695,0.18583,0.16008,0.19195,0.17216,0.16548,0.14772,0.12023,0.13393,0.11798,0.13671,0.13657,0.12845,0.13905,0.13945,0.13738,0.11811,0.127,0.0915,0.08895,0.0666
che,Switzerland,3.88248,3.74477,3.59791,3.44559,3.29713,3.14092,2.93852,2.85246,2.81626,2.49633,2.58221,2.56916,2.35451,2.04025,2.03858,2.21411,2.35827,1.96306,2.18556,2.04367,2.0989,1.99147,2.10549,1.97167,1.92102,1.9116,2.01712,1.91861,1.76488,1.76964,2.09894,2.27843,2.63479
chl,Chile,1.66027,1.53842,1.37867,1.24772,1.28593,1.30065,1.33116,1.35866,1.4205,1.50162,1.4736,1.44177,1.41709,1.23557,1.0549,0.91425,0.74434,0.58832,0.47687,1.36973,1.2689,1.20501,1.26855,1.27359,1.15918,1.16269,1.08476,1.14756,0.96978,0.87385,0.81874,0.68234,0.65262
chn,China,29.53257,29.07378,28.56684,28.01634,27.42146,26.79677,26.16253,25.49699,24.78402,23.995,23.10767,22.19631,21.24912,20.27413,19.35593,18.46169,17.60427,16.76953,16.01541,15.2594,14.56485,13.94372,13.36488,12.81974,12.33361,11.85026,11.36053,10.89021,10.47742,10.47866,9.9016,9.59481,9.35177
civ,Cote d'Ivoire,27.31459,27.25993,27.28592,27.37604,27.38944,27.34243,27.29906,27.11733,26.90453,26.55134,25.97976,25.7268,25.5482,25.10607,24.61077,24.15121,23.61994,23.14509,22.2807,21.27914,20.61781,20.42597,15.77351,14.79495,13.7901,12.81167,12.9929,13.3919,13.79099,15.4295,16.35,18.35066,17.59321
cmr,Cameroon,14.81459,14.92897,15.03956,15.2502,15.38663,15.38074,16.12999,16.83621,17.49813,18.1728,18.799,19.85648,20.90203,21.8768,22.84037,23.85728,24.81253,23.24112,21.65532,20.14189,18.74027,17.40676,16.07925,14.78255,13.07655,11.47144,10.00296,8.66896,7.46624,6.70077,5.45737,5.3049,5.03481
cod,"Congo, Dem. Rep.",31.8949,31.87488,31.87362,31.87623,31.822,31.79268,31.54231,31.2957,31.02785,30.67631,30.53738,30.05625,29.23271,28.57884,27.90283,26.48822,25.17925,23.96904,22.69803,21.57464,20.40472,19.24081,19.5985,19.92412,20.19985,20.5069,20.89646,21.33836,21.61672,22.30191,21.36376,20.96228,20.70331
cog,"Congo, Rep.",6.8096,6.82388,6.83442,6.877,6.89011,6.89604,6.88004,6.81471,6.81342,6.78568,6.68212,6.55545,6.42786,6.30549,6.10966,5.93903,5.77484,5.6669,5.46034,5.29651,5.09245,4.85715,4.64385,4.39418,4.14184,3.9214,3.74704,3.59963,3.40223,3.45924,3.24333,3.13196,2.99889
col,Colombia,5.69367,5.64972,5.60555,5.47471,5.41725,5.33221,5.23008,5.16202,5.13105,5.06359,4.98674,4.88802,4.87589,4.49751,4.32113,4.39985,3.85706,3.71802,4.34351,4.67943,4.58156,4.73155,4.39298,4.17082,3.97694,3.56754,3.53699,3.32371,3.17843,3.0863,3.0122,1.99548,2.03994
com,Comoros,17.97704,17.85961,17.69753,17.50494,17.31005,17.08754,16.81683,16.51325,16.17007,15.69463,15.18519,14.62115,14.07343,13.72406,12.46192,11.29465,10.22452,9.19921,8.23603,7.38344,6.59472,5.86886,5.22213,4.63344,4.48697,4.28952,4.1061,3.96172,3.8301,3.83358,3.59128,3.46471,3.38633
cpv,Cape Verde,22.68436,22.7087,22.68099,22.63045,22.46359,22.33871,22.13523,21.91456,21.65357,21.2844,20.87052,20.45062,20.12138,19.67755,19.17236,18.64666,17.97903,17.3167,16.76323,15.81447,14.89443,14.00483,13.16151,12.33229,11.51404,10.86995,10.19654,9.61833,9.09409,9.50219,8.96533,8.68483,8.32302
cri,Costa Rica,4.43143,3.64331,3.61043,3.48215,3.79408,3.22532,3.13394,3.34128,3.00936,2.58372,2.57807,2.78016,2.458,2.27204,2.05721,1.99631,1.66491,1.48297,1.51141,1.6064,1.68915,1.71913,2.24217,2.16058,2.35052,2.04217,1.82799,1.59738,1.80058,1.84505,1.48639,1.35179,1.03065
cub,Cuba,1.12263,1.14905,1.17488,1.14033,1.13644,1.07922,1.20661,1.32395,1.4727,1.47616,1.54251,1.46176,1.48521,1.43293,1.32561,1.12496,1.00699,0.97597,0.88593,0.85339,1.26914,1.34455,1.3509,1.36874,1.38895,1.39287,1.41767,1.39786,1.3961,1.46022,1.37306,1.32142,1.29471
cyp,Cyprus,3.03089,2.94858,2.86316,2.77703,2.67589,2.59166,2.54304,2.46479,2.19295,3.15248,3.3027,3.19994,3.49022,3.11509,2.76809,2.17928,1.70971,1.86545,2.36402,2.0748,1.88111,1.77341,1.64403,1.85045,1.30573,1.25899,0.82508,0.67001,0.79911,0.54468,0.86257,0.67124,0.59442
cze,Czech Republic,0.32939,0.32726,0.29575,0.39329,0.52054,0.45403,0.40143,0.46544,0.52617,0.5612,0.58534,0.6076,0.69763,0.66037,0.734,0.67277,0.60478,0.62923,0.59755,0.60358,0.52805,0.57514,0.58603,0.59327,0.60214,0.52643,0.47267,0.48623,0.49369,0.54249,0.40895,0.41074,0.19328
